#{"t_start": 1721926562.0194411, "env_id": "None"}
r,d_r,l,t
2708.077451,2554.505776,8000,29333.326107
110.314448,176.018684,456,29340.616552
2346.525736,-6208.546689,8000,29498.07107
1044.322467,-4757.791104,8000,29653.700476
682.873744,2694.727075,8000,29813.449494
1240.044953,-4668.904478,7101,29960.234903
2642.867332,-5350.238956,8000,30113.957901
2679.199028,2519.651645,8000,30251.631561
2582.205705,-10146.252398,8000,30404.874295
202.17124,659.335773,8000,30558.754954
2814.812083,-5476.533583,8000,30714.091233
-3788.177181,-5323.160006,8000,30867.008489
2588.456112,-14195.456074,8000,31020.195829
-4670.276783,2613.309352,8000,31171.083791
2506.472729,2722.044662,8000,31327.211883
-6497.203428,-3538.146677,8000,31484.942198
-3231.969727,1517.185301,4702,31593.320028
2738.254781,1360.172225,8000,31744.683777
2282.889766,2068.949933,8000,31901.017627
-6443.097859,957.743551,8000,32043.613905
-5742.768167,2709.67973,8000,32198.756902
-5599.579018,-5642.797024,7514,32346.022404
-3968.001623,-2110.140408,8000,32484.734053
2676.700038,-6581.095041,8000,32639.870872
2291.315899,2152.325473,8000,32773.710997
2117.043023,-8143.882522,8000,32921.733408
342.821969,-5957.703914,8000,33062.937229
2599.595082,2204.215747,8000,33214.783995
-4543.245032,2701.526756,8000,33348.846443
-2863.478811,-4559.474708,8000,33502.712142
2369.161166,-2417.789917,8000,33657.355417
2608.322527,-300.404955,8000,33797.750695
-4539.271735,-4059.227687,8000,33946.124259
-2223.889246,-4065.659731,8000,34097.217731
2621.550352,2581.519328,8000,34249.691626
2599.04678,-4243.704849,8000,34404.1918
385.674244,2603.671895,8000,34556.871647
27.689656,230.952527,529,34560.624202
962.605336,2031.957068,6037,34611.732705
-4262.827628,2385.400497,8000,34765.121519
-2621.164972,834.90496,3862,34884.664238
-876.540206,617.025556,1741,34900.195144
1966.671394,-9464.790513,8000,35030.966588
2632.868542,-2995.293317,8000,35186.0366
-6346.637728,2676.298603,8000,35331.745107
-1405.623257,2723.522588,8000,35487.929651
2669.465407,2691.588269,8000,35641.16035
-23.369195,70.50438,155,35645.428727
2464.596673,2455.755432,8000,35797.50731
2621.924549,-6693.801886,8000,35950.442363
-4295.740715,-1402.629053,8000,36104.923357
2674.43593,-4475.056719,8000,36260.096406
-4203.735971,820.351457,7891,36413.510248
-4026.016143,2324.893231,8000,36553.49612
2637.590637,-6834.403272,8000,36704.572692
-606.303066,2592.605169,8000,36843.834332
-5842.461537,-2056.350562,8000,36998.281183
-1962.728026,-4605.269784,8000,37137.932249
2632.737008,-1296.344948,8000,37292.457561
2625.588129,-4596.229295,8000,37450.409597
-1903.945715,2583.363541,8000,37593.0815
77.548408,78.554055,294,37595.121345
-4497.147514,2656.842289,8000,37752.509127
2569.668215,-11121.409169,8000,37898.079115
-5995.184101,2585.496736,8000,38051.398304
2690.593296,-14155.767812,8000,38208.727526
-4950.655768,2210.90185,8000,38367.19931
2707.101099,2638.317926,8000,38515.618269
-3109.580093,2564.592339,8000,38656.474672
-0.054355,74.146044,154,38657.670423
2518.309765,2645.359789,8000,38797.139297
-4432.816709,-6039.013295,8000,38942.758418
-685.947175,-201.39537,3194,39049.415992
2699.1459,-4908.480882,8000,39204.234736
-975.42624,-5290.317629,8000,39360.328191
-3314.093058,-1085.93842,8000,39517.150153
